"NIH Print Exchange (n=217), Printables (n=340), Thingiverse (n=754)"	Design Name
https://3dprint.nih.gov/discover/3dpx-010666	Cotton Tip Applicator Holder
https://3dprint.nih.gov/discover/3dpx-010720	TRIO Imaging Support Platform for Mice
https://3dprint.nih.gov/discover/3dpx-010819	Dewar for tissue grinding in Liquid Nitrogen in Eppendorf tube
https://3dprint.nih.gov/discover/3dpx-010875	Test tube rack
https://3dprint.nih.gov/discover/3dpx-010915	LazyRA W-16: High-throughput Microfluidics and Protein Microarray Slide Processor (liquid handling robot compatible)
https://3dprint.nih.gov/discover/3dpx-010991	Periodic table of elements
https://3dprint.nih.gov/discover/3dpx-011214	Magnetic rack 1.5ml/2ml & 15ml
https://3dprint.nih.gov/discover/3dpx-011230	Tool for calibration of Gilson Rainin PipetteMan
https://3dprint.nih.gov/discover/3dpx-011298	Form 2 Tool holder
https://3dprint.nih.gov/discover/3dpx-011324	cuvette rack
https://3dprint.nih.gov/discover/3dpx-011745	Histology Plate 10 well v1
https://3dprint.nih.gov/discover/3dpx-011746	Histology Plate 20 well v1.stl
https://3dprint.nih.gov/discover/3dpx-011747	Histology Tray 10 well v1
https://3dprint.nih.gov/discover/3dpx-011748	Histology Tray 20 well v1
https://3dprint.nih.gov/discover/3dpx-011948	Owl Easy Cast Gel Comb (large wells)
https://3dprint.nih.gov/discover/3dpx-012172	Freequenza Immunostaining Box
https://3dprint.nih.gov/discover/3dpx-012212	38mm Tube Rack - 6 Place
https://3dprint.nih.gov/discover/3dpx-012293	Universal Phone Level Mount
https://3dprint.nih.gov/discover/3dpx-012299	Scalpel Holder
https://3dprint.nih.gov/discover/3dpx-012304	Mill Collet Holder
https://3dprint.nih.gov/discover/3dpx-012305	Parametric & Customizable Funnel
https://3dprint.nih.gov/discover/3dpx-012312	Micropipette holder/stand
https://3dprint.nih.gov/discover/3dpx-012320	3D Print Material Price Scale
https://3dprint.nih.gov/discover/3dpx-012336	Helping Hands for Soldering Wires with Holder for Soldering Iron
https://3dprint.nih.gov/discover/3dpx-012344	Tube Holder Adaptor for Cold Block
https://3dprint.nih.gov/discover/3dpx-012346	3D printed tweezers
https://3dprint.nih.gov/discover/3dpx-012372	Bug Catching Box
https://3dprint.nih.gov/discover/3dpx-012374	Mini Lathe
https://3dprint.nih.gov/discover/3dpx-012381	Parametric Scoopula
https://3dprint.nih.gov/discover/3dpx-012386	Adjustable Test Tube Holder
https://3dprint.nih.gov/discover/3dpx-012403	Variable Size Test Tube Holder
https://3dprint.nih.gov/discover/3dpx-012408	Water Quality Probe Holder
https://3dprint.nih.gov/discover/3dpx-012409	Universal Phone Level Holder
https://3dprint.nih.gov/discover/3dpx-012414	Open Sourced Printable Safety Glasses
https://3dprint.nih.gov/discover/3dpx-012418	R8 Collet Holder
https://3dprint.nih.gov/discover/3dpx-012443	Test Tube Drying Rack
https://3dprint.nih.gov/discover/3dpx-012449	Resin Funnel and Stand
https://3dprint.nih.gov/discover/3dpx-012452	DIY Automatic Sieve Shaker (Partial)
https://3dprint.nih.gov/discover/3dpx-012453	Microscope Phone Adapter
https://3dprint.nih.gov/discover/3dpx-012459	Athena II Delta 3D Printer Epoxy Resin Syringe Mod
https://3dprint.nih.gov/discover/3dpx-012563	Angled cuvette holder for FluoroMax
https://3dprint.nih.gov/discover/3dpx-012802	DIYbio Orbital Shaker v1.1
https://3dprint.nih.gov/discover/3dpx-012879	Greiner 96-well plate (655 090)
https://3dprint.nih.gov/discover/3dpx-012890	12 mm cover slip trough
https://3dprint.nih.gov/discover/3dpx-012891	4-slide adapter for multiwell plate microscope holder
https://3dprint.nih.gov/discover/3dpx-012895	18mm spaced 1.5 ml tube rack
https://3dprint.nih.gov/discover/3dpx-012897	96 wellplate 25 degree holder
https://3dprint.nih.gov/discover/3dpx-012898	96 wellplate 30 degree holder
https://3dprint.nih.gov/discover/3dpx-012987	Ergonomic 96 Well Plate Adapter
https://3dprint.nih.gov/discover/3dpx-012992	phone stand for slide imaging
https://3dprint.nih.gov/discover/3dpx-013346	Adjustable Flow Restriction Device for Multiple Patient Lung Ventilation
https://3dprint.nih.gov/discover/3dpx-013484	Multichannel Weighing Plate
https://3dprint.nih.gov/discover/3dpx-013486	96 Well Filter Plate
https://3dprint.nih.gov/discover/3dpx-013579	Magnetic rack for microtubes
https://3dprint.nih.gov/discover/3dpx-013942	3DPX-013942
https://3dprint.nih.gov/discover/3dpx-014037	Beaker Divider
https://3dprint.nih.gov/discover/3dpx-014292	GCMS Vial Adapter
